trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,0,-115.05088220938177,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.985}",25,0,-198.86099499140843,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.2, 'e': 0.970225}",25,0,-157.39909011496604,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.9556716249999999}",30,0,-202.3329969629997,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
5,False,"{'a': 0.2, 'e': 0.941336550625}",20,0,-107.68124443646488,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9272165023656249}",20,6,-52.578734369530814,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.2, 'e': 0.9133082548301406}",20,0,-23.7569133341331,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.2, 'e': 0.8996086310076884}",25,0,0.25413364390856574,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.8861145015425731}",25,0,-113.5836479042479,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.8728227840194345}",20,0,-256.4270850008967,"{0: 8, 1: 1, 2: 4, 3: 3, 4: 4}",0
11,False,"{'a': 0.2, 'e': 0.859730442259143}",25,5,-91.78550692079145,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
12,False,"{'a': 0.2, 'e': 0.8468344856252558}",25,11,-72.40794843084267,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.2, 'e': 0.834131968340877}",35,0,-124.35789982087793,"{0: 23, 1: 6, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.8216199888157638}",35,21,-88.42044972515092,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.2, 'e': 0.8092956889835273}",20,1,-49.960552584216686,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.7971562536487744}",25,0,-88.51487595881109,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.2, 'e': 0.7851989098440427}",20,0,-37.12117729714025,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.7734209261963821}",25,0,-87.67245024167757,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.7618196123034364}",20,0,-40.217128786161645,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.7503923181188848}",25,0,-59.90913594427946,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.7391364333471016}",20,0,-18.576264562919583,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.2, 'e': 0.728049386846895}",25,0,-50.3610758842422,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.7171286460441916}",20,0,-59.985014127994845,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.7063717163535287}",30,0,-23.88009677682157,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.6957761406082258}",20,8,-41.42552289578546,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
26,False,"{'a': 0.2, 'e': 0.6853394984991024}",20,0,-38.16471196080624,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.6750594060216158}",35,0,-221.13766951945408,"{0: 21, 1: 2, 2: 8, 3: 0, 4: 4}",0
28,False,"{'a': 0.2, 'e': 0.6649335149312916}",25,0,-25.12321410515519,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.6549595122073222}",20,0,-86.69884483086354,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.2, 'e': 0.6451351195242123}",25,0,-42.05270188387349,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.2, 'e': 0.6354580927313491}",25,0,-51.23540098699111,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.6259262213403789}",20,0,-81.07533833429653,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
33,False,"{'a': 0.2, 'e': 0.6165373280202732}",25,0,-68.32420027552796,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.2, 'e': 0.6072892680999691}",20,0,-47.676866603632206,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.5981799290784695}",20,0,-38.204956507432925,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.2, 'e': 0.5892072301422925}",20,0,-37.325866525172664,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
37,False,"{'a': 0.2, 'e': 0.5803691216901581}",25,0,-23.664106299324732,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.2, 'e': 0.5716635848648057}",20,2,-5.037736922393808,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.2, 'e': 0.5630886310918336}",25,9,-96.80002840170607,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 3}",1
40,False,"{'a': 0.2, 'e': 0.5546423016254561}",20,0,-140.46697454106825,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
41,False,"{'a': 0.2, 'e': 0.5463226671010742}",25,9,-30.330090619055042,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
42,False,"{'a': 0.2, 'e': 0.5381278270945582}",20,8,10.28432675966749,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.2, 'e': 0.5300559096881398}",30,1,-25.368048331131302,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.5221050710428177}",20,0,-45.96274676596084,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
45,False,"{'a': 0.2, 'e': 0.5142734949771754}",20,0,-169.7981596386883,"{0: 10, 1: 1, 2: 2, 3: 6, 4: 1}",0
46,False,"{'a': 0.2, 'e': 0.5065593925525178}",30,15,10.460236685297144,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.2, 'e': 0.49896100166422996}",25,9,-50.590441557809626,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
48,False,"{'a': 0.2, 'e': 0.4914765866392665}",30,0,-21.12682292551057,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.2, 'e': 0.48410443783967755}",25,0,-158.76092982712225,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
50,False,"{'a': 0.2, 'e': 0.47684287127208236}",30,21,15.623208606594995,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.4696902282030011}",30,0,-12.312515594009163,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.4626448747799561}",30,0,-50.12558915755972,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
53,False,"{'a': 0.2, 'e': 0.45570520165825673}",30,15,8.45022156955431,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.4488696236333829}",25,2,5.979814255812843,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.2, 'e': 0.4421365792788821}",20,7,-13.111097245588605,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.4355045305896989}",20,11,-33.008364376087336,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.4289719626308534}",20,6,-17.003725950019238,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.2, 'e': 0.4225373831913906}",25,16,16.46720118052752,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.41619932244351976}",20,0,-12.614055151093575,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.2, 'e': 0.4099563326068669}",25,10,24.891218708603176,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.4038069876177639}",20,10,7.607671146425252,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.2, 'e': 0.3977498828034975}",25,11,-15.853734596782255,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.2, 'e': 0.391783634561445}",20,16,8.138614868857156,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.2, 'e': 0.3859068800430233}",25,17,-39.61110546779956,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.2, 'e': 0.380118276842378}",20,8,-27.9137627940491,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.2, 'e': 0.3744165026897423}",20,15,5.561715361315377,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
